x_m,y_m,width_left_m,width_right_m,vx_mps
-50.4222696,14.8223315,1.2778,0.75,13.809103
-50.4704319,14.9099392,1.2768895,0.7586382,13.8197843
-50.5184773,14.9976109,1.275979,0.7672763,13.8304146
-50.5664065,15.0853458,1.2750685,0.7759145,13.8409942
-50.6142206,15.1731432,1.274158,0.7845526,13.8515234
-50.6619206,15.2610024,1.2732476,0.7931908,13.8620023
-50.7095073,15.3489227,1.2723371,0.8018289,13.8724314
-50.7569818,15.4369033,1.2714266,0.8104671,13.8828109
-50.804345,15.5249436,1.2705161,0.8191053,13.8931411
-50.8515978,15.6130429,1.2696056,0.8277434,13.9034222
-50.8987413,15.7012004,1.2686951,0.8363816,13.9136545
-50.9457777,15.7894179,1.2691202,0.8353292,13.9238383
-50.9927071,15.877692,1.2695775,0.8340427,13.9339739
-51.0395309,15.9660219,1.2700349,0.8327562,13.9440616
-51.0862505,16.0544066,1.2704922,0.8314696,13.9541015
-51.1328674,16.1428452,1.2709495,0.8301831,13.964094
-51.1793829,16.2313369,1.2714069,0.8288966,13.9740394
-51.2257984,16.3198807,1.2718642,0.82761,13.9839378
-51.2721155,16.4084757,1.2723216,0.8263235,13.9937896
-51.3183354,16.4971211,1.2727789,0.825037,14.003595
-51.3644598,16.585816,1.2732363,0.8237504,14.0133542
-51.4104911,16.6745619,1.2723359,0.8271059,14.0230676
-51.4564297,16.7633556,1.2713683,0.8306913,14.0327354
-51.5022769,16.8521962,1.2704008,0.8342767,14.0423577
-51.5480342,16.9410828,1.2694332,0.8378621,14.051935
-51.5937031,17.0300147,1.2684656,0.8414475,14.0614673
-51.6392849,17.1189908,1.267498,0.8450329,14.070955
-51.6847812,17.2080105,1.2665305,0.8486183,14.0803983
-51.7301934,17.2970728,1.2655629,0.8522037,14.0897975
-51.7755229,17.386177,1.2645953,0.8557891,14.0991527
-51.8207712,17.4753222,1.2636277,0.8593745,14.1084643
-51.8659408,17.5645095,1.2633786,0.8580004,14.1177324
-51.911032,17.6537362,1.2631843,0.8562483,14.1269574
-51.9560464,17.7430014,1.2629899,0.8544963,14.1361393
-52.0009855,17.8323044,1.2627956,0.8527443,14.1452785
-52.0458507,17.9216443,1.2626012,0.8509923,14.1543752
-52.0906434,18.0110203,1.2624069,0.8492402,14.1634296
-52.1353652,18.1004317,1.2622125,0.8474882,14.172442
-52.1800176,18.1898776,1.2620181,0.8457362,14.1814125
-52.2246019,18.2793573,1.2618238,0.8439842,14.1903415
-52.2691197,18.3688699,1.2616294,0.8422321,14.199229
-52.313573,18.4584159,1.2620898,0.8474544,14.2080754
-52.3579627,18.5479932,1.2626184,0.8534037,14.2168809
-52.4022903,18.6376011,1.2631471,0.8593529,14.2256456
-52.4465573,18.7272389,1.2636757,0.8653021,14.2343698
-52.4907652,18.8169058,1.2642043,0.8712514,14.2430537
-52.5349155,18.906601,1.2647329,0.8772006,14.2516976
-52.5790096,18.9963238,1.2652616,0.8831499,14.2603015
-52.6230491,19.0860734,1.2657902,0.8890991,14.2688659
-52.6670354,19.1758489,1.2663188,0.8950483,14.2773907
-52.71097,19.2656498,1.2668474,0.9009976,14.2858764
-52.7548545,19.3554752,1.2657034,0.8974932,14.294323
-52.7986903,19.4453245,1.2643356,0.8927241,14.3027308
-52.8424789,19.5351967,1.2629678,0.8879549,14.3110999
-52.8862217,19.6250912,1.2616,0.8831858,14.3194307
-52.9299204,19.7150073,1.2602322,0.8784167,14.3277232
-52.9735764,19.8049442,1.2588644,0.8736476,14.3359777
-53.0171912,19.8949011,1.2574966,0.8688785,14.3441944
-53.0607663,19.9848774,1.2561288,0.8641094,14.3523734
-53.1043032,20.0748723,1.254761,0.8593403,14.3605151
-53.1478034,20.1648851,1.2533932,0.8545711,14.3686195
-53.1912678,20.2549138,1.253569,0.8563109,14.3766869
-53.2346986,20.344959,1.2539994,0.8591244,14.3847174
-53.2780971,20.4350199,1.2544298,0.8619378,14.3927113
-53.321465,20.5250957,1.2548603,0.8647512,14.4006687
-53.3648037,20.6151858,1.2552907,0.8675647,14.4085898
-53.4081147,20.7052894,1.2557211,0.8703781,14.4164749
-53.4513996,20.7954058,1.2561515,0.8731915,14.424324
-53.4946598,20.8855343,1.2565819,0.8760049,14.4321375
-53.5378968,20.9756741,1.2570124,0.8788184,14.4399154
-53.5811122,21.0658246,1.2574428,0.8816318,14.4476579
-53.6243063,21.1559827,1.2562606,0.8797388,14.4553653
-53.6674818,21.24615,1.2547593,0.8769144,14.4630377
-53.7106401,21.3363259,1.253258,0.8740901,14.4706753
